E	cs_tot	cs_el	cs_inel	cs_h_tot	cs_h_el	cs_h_inel	cs_c_tot	cs_c_el	cs_c_inel
10500000	19.519600920000002	15.02533781	4.494263110000002	0.905974917	0.905942681	3.2236000000018805e-05	1.16220575	0.662879	0.49932675000000004
10600000	19.889121799999998	15.306571119999997	4.582550680000001	0.902432	0.9023998	3.2200000000037754e-05	1.2072002	0.69806368	0.50913652
10700000	20.41907611	15.57348359	4.8455925199999985	0.893014861	0.892982759	3.2102000000033826e-05	1.2765475	0.738184	0.5383635
10800000	20.654296799999997	15.742571219999999	4.911725579999999	0.88183788	0.881805897	3.1982999999957684e-05	1.315102	0.76939025	0.5457117499999999
10900000	21.19968198	16.33189965	4.867782330000001	0.879073098	0.879041145	3.1953000000028986e-05	1.3787723333333333	0.8379431333333334	0.5408291999999999
11000000	21.42157861	16.60420156	4.817377050000001	0.868070611	0.868038781	3.183000000006597e-05	1.4156525	0.8804237500000001	0.5352287499999999
11100000	21.251489749999998	16.413158525	4.8383312249999975	0.865349	0.8653172	3.180000000002625e-05	1.39977775	0.862220725	0.5375570249999999
11200000	21.153105869999997	16.4891062	4.663999669999999	0.856718487	0.85668676	3.172699999998141e-05	1.3984356666666666	0.8802487333333332	0.5181869333333334
11300000	20.94016309	16.33981265	4.60035044	0.845988109	0.845956475	3.163399999994709e-05	1.386698	0.8755831	0.5111149
11400000	20.88812949	16.29650563	4.591623860000002	0.843933849	0.843902233	3.161600000001208e-05	1.383199	0.8730537	0.5101453
11500000	20.694235980000002	16.188473090000002	4.50576289	0.833363598	0.833332079	3.151900000009089e-05	1.3734	0.8727947	0.5006052999999999
11600000	20.4701905	16.03459945	4.435591049999999	0.83134	0.8313085	3.1499999999962114e-05	1.3507545	0.85794605	0.49280845000000006
11800000	20.278073640000002	15.77663532	4.501438320000002	0.815535264	0.815503962	3.130200000001082e-05	1.3469690000000003	0.8468439666666666	0.5001250333333337
12000000	20.80521593	16.20227904	4.602936889999999	0.805365143	0.805333974	3.116899999999756e-05	1.4168405000000002	0.9054377	0.5114028000000002
12100000	20.983005750000004	16.17444115	4.808564600000004	0.800031	0.7999999	3.1100000000061634e-05	1.44252175	0.90827135	0.5342504
12200000	20.67077642	15.91884198	4.751934439999999	0.789620792	0.789589863	3.092900000001286e-05	1.4193965	0.89143815	0.5279583499999999
12300000	20.18938054	15.615945229999998	4.573435310000001	0.784815304	0.784784453	3.085099999999841e-05	1.3712475	0.8631222999999999	0.5081252
12500000	19.67100387	15.298756280000001	4.372247589999999	0.774603087	0.774572408	3.067899999997792e-05	1.324997	0.8392258	0.48577119999999996
12600000	19.760891	15.4685618	4.292329200000001	0.769889	0.7698584	3.0599999999991745e-05	1.3402223333333332	0.8633308666666667	0.4768914666666665
12800000	19.921306639999997	15.608265920000001	4.3130407199999965	0.755815364	0.755784962	3.0402000000040452e-05	1.3736836666666665	0.8944907	0.47919296666666655
13000000	20.17428304	15.84343561	4.330847429999999	0.745972654	0.745942396	3.0258000000005225e-05	1.4127285	0.93155685	0.48117165000000006
13100000	20.174823	15.866359899999999	4.308463100000001	0.741999	0.7419688	3.0199999999980243e-05	1.4172036666666668	0.9385191	0.4786845666666667
13200000	20.070249190000002	15.74534981	4.3248993800000015	0.732329269	0.732299141	3.0127999999907118e-05	1.4163285	0.9358176	0.4805109000000001
13300000	19.89995176	15.56639508	4.333556680000001	0.728942626	0.728912523	3.0103000000059055e-05	1.4011695	0.91969665	0.48147284999999995
13600000	19.741684	15.33657034	4.40511366	0.716116	0.716086	2.999999999997449e-05	1.3978359999999999	0.9084122600000001	0.4894237399999998
13700000	19.54142654	15.12779909	4.41362745	0.706777754	0.706747829	2.9924999999986213e-05	1.385961	0.8955912	0.49036979999999997
13800000	19.427254939999997	14.991501509999999	4.435753429999998	0.703969994	0.703940091	2.9903000000053304e-05	1.3763949999999998	0.8835667333333334	0.49282826666666646
14000000	18.92288734	14.519717100000001	4.403170239999998	0.694790134	0.69476031	2.9823999999956108e-05	1.330554	0.841346	0.489208
14100000	18.699545	14.318704449999998	4.380840550000002	0.69203	0.6920002	2.9800000000079763e-05	1.308805	0.82207805	0.48672695
14200000	18.770484030000002	14.29971436	4.470769670000003	0.682612953	0.682583311	2.9641999999996393e-05	1.3271505000000001	0.83043125	0.49671925000000017
14300000	18.81041042	14.33722691	4.47318351	0.680215142	0.680185541	2.960100000004573e-05	1.334251	0.8372635	0.4969875
14500000	18.52616569	14.18946698	4.3366987099999985	0.670958869	0.670929428	2.9441000000018924e-05	1.312953	0.8311303000000001	0.48182269999999994
14600000	18.662405500000002	14.3500054	4.312400100000001	0.668602	0.6685726	2.940000000006826e-05	1.3307095000000002	0.8515866	0.47912290000000024
14800000	18.996810744999998	14.66829976	4.328510984999998	0.6585347245	0.658505506	2.921849999992787e-05	1.3790515	0.8981383000000001	0.48091320000000004
15000000	19.07341745	14.77231735	4.301100100000001	0.648617645	0.64858861	2.903499999995507e-05	1.3985823333333334	0.9207145833333333	0.47786775000000004
15100000	19.1522664	14.817669639999998	4.33459676	0.646722	0.646693	2.9000000000056758e-05	1.4094495999999999	0.9278599599999999	0.48158963999999993
15300000	19.27340875	14.99565347	4.277755280000001	0.6371553249999999	0.6371265095	2.8815499999890193e-05	1.4335395	0.958265375	0.475274125
15500000	19.369147310000002	15.15134896	4.2177983500000025	0.627729281	0.627700651	2.8629999999973954e-05	1.4546505	0.98603805	0.46861245000000007
15600000	19.406505000000003	15.18448955	4.2220154500000024	0.626241	0.6262124	2.8600000000045256e-05	1.460455	0.9913739500000001	0.46908105
15800000	19.488208845000003	15.227675245	4.260533600000002	0.6171322845	0.6171038245	2.8460000000007923e-05	1.479654	1.006293	0.4733609999999999
16000000	19.67452232	15.33701314	4.337509180000001	0.608155532	0.608127214	2.8318000000027155e-05	1.5103296666666666	1.0284156666666666	0.48191399999999995
16100000	19.630865	15.277915	4.35295	0.607028	0.6069997	2.8299999999981118e-05	1.5067316666666668	1.023102	0.48362966666666685
16300000	19.15040433	14.83387173	4.3165326	0.598101033	0.5980729229999999	2.8110000000025614e-05	1.463266	0.9836825	0.47958349999999994
16500000	18.83657154	14.46666726	4.369904280000002	0.589305054	0.589277136	2.7918000000015653e-05	1.438169	0.9526551	0.48551390000000005
16600000	18.746438	14.400999500000001	4.3454385	0.588476	0.5884481	2.7899999999969616e-05	1.4290753333333335	0.9462798333333334	0.48279550000000004
17000000	18.276776560000002	13.7845061	4.492270460000002	0.571554856	0.57152744	2.7416000000002327e-05	1.395692	0.8965813	0.4991106999999999
17100000	18.323357	13.7879902	4.535366800000002	0.571019	0.5709916	2.740000000001075e-05	1.401463	0.8975638	0.5038991999999999
17300000	18.166693025	13.466909245	4.699783780000001	0.5628707525000001	0.5628433495	2.7403000000036926e-05	1.3931095	0.8709417500000001	0.5221677499999999
17500000	18.160726439999998	13.42317853	4.737547909999998	0.554838744	0.554811343	2.7400999999982467e-05	1.401371	0.8750072333333333	0.5263637666666666
17600000	18.219102499999998	13.4490751	4.770027399999998	0.554564	0.5545366	2.7399999999899727e-05	1.4081625	0.8781899	0.5299726
18000000	18.288849170000002	13.55631811	4.732531060000003	0.539068817	0.539041516	2.730099999992408e-05	1.433129	0.90732255	0.5258064500000001
18100000	18.417467000000002	13.7013239	4.716143100000002	0.539027	0.5389997	2.7300000000063385e-05	1.4474663333333335	0.9234807666666667	0.5239855666666668
18300000	18.50413702	13.67245733	4.831679690000001	0.531250402	0.531223403	2.6998999999916506e-05	1.465737	0.9289137	0.5368233000000001
18600000	18.493499	13.6390541	4.854444900000001	0.523586	0.5235593	2.670000000004613e-05	1.473071	0.9337179	0.5393531
18800000	18.54742451	13.73766712	4.80975739	0.516231851	0.516205402	2.644900000003947e-05	1.487234	0.9528459	0.5343880999999999
19100000	18.479902000000003	13.830123675000001	4.6497783250000015	0.508981	0.5089548	2.6199999999976242e-05	1.487788	0.971175075	0.5166129250000001
19600000	18.4397205	13.784577825	4.6551426750000005	0.495147	0.4951209	2.6100000000028878e-05	1.4986944999999998	0.981485425	0.5172090749999998
19800000	18.42361151	13.75681139	4.666800120000001	0.488542451	0.488516399	2.6051999999998632e-05	1.504243	0.9857386	0.5185044
